line_id,name,code,colour,operator,network,mode,frequency,opening_hours,frequency_exceptions
Line:relation:36997,Bus 34 : Les Noues RER (Circulaire),34,#00B353,Keolis CIF,Les Courriers de l'Île-de-France,bus,,,
Line:relation:69936,Bus 31: Paduaallee <=> Niederrimsingen <=> Gündlingen <=> Breisach,31,,Tuniberg Express,RVF,bus,,,
Line:relation:72769,Bus N46: Hauptbahnhof (ZOB) <=> Breisach,N46,,Tuniberg Express,Nachtbus Freiburg,bus,,,
Line:relation:107352,Bus 33 : Les Noues RER (Circulaire),33,#007AC2,Keolis CIF,Les Courriers de l'Île-de-France,bus,,,
Line:relation:107354,Bus 11 : Victor Basch (Goussainville) ↔ Saint-Denis Porte de Paris,11,#B456A1,Keolis CIF,Les Courriers de l'Île-de-France,bus,,,
Line:relation:107356,Bus 32 : Victor Basch (Goussainville) ↔ Zone aéroportuaire de Roissy,32,#B2CE40,Keolis CIF,Les Courriers de l'Île-de-France,bus,,,
Line:relation:109875,Ligne de Paris à Marseille,830 000,,SNCF Réseau,,train,,,
Line:relation:110551,Ligne de Dijon à Vallorbe,850 000,,SNCF Réseau,,railway,,,
Line:relation:122886,Transilien Ligne RER C,C,#FCD946,SNCF,RER,train,,,
Line:relation:147444,Ligne de Dole à Belfort,852 000,,SNCF Réseau,,railway,,,
Line:relation:147451,Ligne de Franois à Arc-et-Senans,871 000,,SNCF Réseau,,railway,,,
Line:relation:147452,Ligne de Mouchard à Bourg-en-Bresse,880 000,,SNCF Réseau,,railway,,,
Line:relation:165613,Métro 1,M1,#0075be,Régie des Transports Marseillais,RTM,subway,4 to 10 minutes,"Mo-Su 00:00-00:30,05:00-24:00",
Line:relation:165618,Metro 2,M2,#e30513,Régie des Transports Métropolitains,RTM,subway,5,"Mo-Su 00:00-00:30,05:00-24:00",
Line:relation:215565,Transilien U,U,#C90062,SNCF,Transilien,train,,,
Line:relation:225665,Bus 170 : Saint-Denis RER ↔ Porte des Lilas,170,#87d3df,RATP,RATP,bus,,,
Line:relation:225801,Bus 115: Château de Vincennes ↔ Porte des Lilas,115,#008B5A,RATP,RATP,bus,,,
Line:relation:226276,Bus 96 : Gare Montparnasse ↔ Porte des Lilas-Métro,96,#DFB03A,RATP,RATP,bus,,,
Line:relation:237739,Bus 109: Goldene Bremm <=> Universität Busterminal,109,#E30513,Saarbahn GmbH,saarVV,bus,,,
Line:relation:240386,Ligne D,D,#0074bb,SERUS,Ruban,bus,,Mo-Sa,
Line:relation:253357,Transilien Ligne K,K,#C7B300,SNCF,Transilien,train,,,
Line:relation:255442,Bus 61 : Place d'Italie ↔ Pantin — Église de Pantin,61,#008C5A,RATP,RATP,bus,,,
Line:relation:273002,Saarbahn S 1,S 1,#EF7C00,Saarbahn GmbH,saarVV,light_rail,,,
Line:relation:276191,6020,6020,#ff7a00,VFD,Transisère,bus,,,
Line:relation:310328,60 : Perrache ⇔ Feyzin Les Razes / Château de l'ile,60,#D80D8C,Keolis,TCL,bus,,,
Line:relation:332709,Bus 147 : Église de Pantin ↔ Sevran – Avenue Ronsard,147,#F50024,RATP,RATP,bus,,,
